date,day,focus,totalscreen,youtube
20221103,Thu,69,330,226
20221104,Fri,50,362,304
20221105,Sat,211,269,154
20221106,Sun,0,240,135
20221107,Mon,237,302,177
20221108,Tue,57,300,131
20221109,Wed,0,332,203
20221110,Thu,73,233,127
20221111,Fri,42,404,291
20221112,Sat,365,146,85
20221113,Sun,0,365,311
20221114,Mon,125,263,163
20221115,Tue,0,375,326
20221116,Wed,323,165,118
20221117,Thu,133,214,143
20221118,Fri,75,216,119
20221119,Sat,0,310,214
20221120,Sun,0,365,261
20221121,Mon,224,328,242
20221122,Tue,0,169,104
20221123,Wed,125,367,305
